"","species","countryCode","decimalLatitude","decimalLongitude"
"465","Anthracoceros malayanus","MY",5.491432,118.20993
"466","Buceros rhinoceros","MY",5.239341,118.71002
"467","Anthracoceros albirostris","MY",5.498167,118.280914
"468","Rhabdotorrhinus corrugatus","MY",5.0198,117.7462
"469","Anthracoceros albirostris","MY",5.86684,117.94813
"470","Buceros rhinoceros","MY",5.53757,118.297104
"471","Buceros rhinoceros","MY",5.876139,117.944145
"472","Berenicornis comatus","MY",5.49595,118.284134
"473","Rhabdotorrhinus corrugatus","MY",5.498167,118.280914
"474","Anthracoceros albirostris","MY",4.962297,117.80357
"475","Rhyticeros undulatus","MY",6.018202,116.53715
"476","Anthracoceros malayanus","MY",5.876139,117.944145
"477","Rhyticeros undulatus","MY",5.0198,117.7462
"478","Anorrhinus galeritus","MY",4.962297,117.80357
"479","Rhabdotorrhinus corrugatus","MY",5.53757,118.297104
"480","Anthracoceros albirostris","MY",5.53757,118.297104
"481","Buceros rhinoceros","MY",3.644122,101.74121
"482","Buceros rhinoceros","MY",5.491432,118.20993
"483","Buceros rhinoceros","MY",5.603426,117.096695
"484","Buceros rhinoceros","MY",4.438871,115.536896
"485","Anthracoceros albirostris","MY",5.474423,118.24059
"486","Rhabdotorrhinus corrugatus","MY",5.530219,118.07522
"487","Rhyticeros undulatus","MY",3.415753,101.84202
"488","Buceros rhinoceros","MY",4.962297,117.80357
"489","Berenicornis comatus","MY",5.53757,118.297104
"490","Buceros rhinoceros","MY",4.962297,117.80357
